# Nextprot proteins with GO term GO:0006355 » Regulation of transcription, DNA-templated, mapped in UniProt to Ensembl gene ids on June 3rd, 2015
From	To
P35869	ENSG00000106546
P27540	ENSG00000143437
Q9HBZ2	ENSG00000172379
O00327	ENSG00000133794
Q8WYA1	ENSG00000029153
A9YTQ3	ENSG00000063438
Q12797	ENSG00000198363
P54253	ENSG00000124788
P0C7T5	ENSG00000224470
P54252	ENSG00000066427
O15265	ENSG00000163635
Q14CW9	ENSG00000087152
Q7Z591	ENSG00000106948
O43313	ENSG00000166454
Q6PL18	ENSG00000156802
Q9ULI0	ENSG00000119778
Q9BZC7	ENSG00000107331
P45844	ENSG00000160179
O94762	ENSG00000108469
Q92499	ENSG00000079785
O00571	ENSG00000215301
Q8TDD1	ENSG00000123064
Q9H2U1	ENSG00000174953
O14497	ENSG00000117713
Q8NFD5	ENSG00000049618
Q68CP9	ENSG00000189079
Q99856	ENSG00000116017
Q8IVW6	ENSG00000179361
A6NKF2	ENSG00000205143
P29374	ENSG00000032219
Q4LE39	ENSG00000054267
Q03989	ENSG00000196843
Q14865	ENSG00000150347
P54259	ENSG00000111676
Q96GD4	ENSG00000178999
O43918	ENSG00000160224
O15169	ENSG00000103126
Q13490	ENSG00000110330
O15392	ENSG00000089685
Q8IWZ6	ENSG00000138686
Q9BZE3	ENSG00000125492
Q9NY43	ENSG00000143032
C9JSJ3	ENSG00000237452
Q7RTU7	ENSG00000260428
Q7L1Q6	ENSG00000082153
Q16520	ENSG00000156127
Q8N1L9	ENSG00000168062
Q9NR55	ENSG00000123685
Q8N143	ENSG00000161940
Q4VC05	ENSG00000110987
Q4VC05	ENSG00000281529
Q86UU0	ENSG00000186174
O00512	ENSG00000116128
P20749	ENSG00000069399
P41182	ENSG00000113916
O95999	ENSG00000142867
Q9H165	ENSG00000119866
Q9C0K0	ENSG00000127152
Q9NYF8	ENSG00000029363
Q9HB09	ENSG00000126453
Q6W2J9	ENSG00000183337
Q5H9F3	ENSG00000085185
Q5SZJ8	ENSG00000151917
P07550	ENSG00000169252
P49407	ENSG00000137486
P32121	ENSG00000141480
Q9NSA3	ENSG00000178585
P07686	ENSG00000049860
P01138	ENSG00000134259
Q6NYC1	ENSG00000070495
Q8IUF8	ENSG00000170854
Q9H6W3	ENSG00000170468
Q96RI1	ENSG00000012504
Q6QNY1	ENSG00000196072
P49789	ENSG00000189283
P54132	ENSG00000197299
Q13145	ENSG00000095739
Q8N8U9	ENSG00000164619
O95393	ENSG00000163217
O95972	ENSG00000130385
P12643	ENSG00000125845
P12645	ENSG00000152785
P12644	ENSG00000125378
P22003	ENSG00000112175
P22004	ENSG00000153162
P18075	ENSG00000101144
Q7Z5Y6	ENSG00000183682
P34820	ENSG00000116985
P36894	ENSG00000107779
O00238	ENSG00000138696
Q13873	ENSG00000204217
O15178	ENSG00000164458
P80723	ENSG00000176788
Q3C1V8	ENSG00000188909
Q96RL1	ENSG00000087206
Q9HCU9	ENSG00000174744
Q5PSV4	ENSG00000100916
P38398	ENSG00000012048
P51587	ENSG00000139618
Q9H6U6	ENSG00000141376
Q8TBE0	ENSG00000140320
Q9NRL2	ENSG00000198604
Q9UIF9	ENSG00000076108
Q9UIF8	ENSG00000123636
Q9NSI6	ENSG00000185658
Q6RI45	ENSG00000165288
P25440	ENSG00000204256
P25440	ENSG00000234507
P25440	ENSG00000215077
P25440	ENSG00000234704
P25440	ENSG00000235307
Q15059	ENSG00000169925
O60885	ENSG00000141867
Q9NPI1	ENSG00000166164
Q9H0E9	ENSG00000112983
Q9H8M2	ENSG00000028310
Q58F21	ENSG00000137948
Q2TAL6	ENSG00000188730
Q719H9	ENSG00000134504
O43670	ENSG00000010244
Q8WUQ7	ENSG00000105298
P12830	ENSG00000039068
P55290	ENSG00000140945
Q9HCU4	ENSG00000143126
Q99653	ENSG00000187446
O43745	ENSG00000166869
Q96BS2	ENSG00000088992
P63098	ENSG00000221823
P53805	ENSG00000159200
P01258	ENSG00000110680
Q99828	ENSG00000185043
Q9P1Z2	ENSG00000012822
Q96RR4	ENSG00000110931
Q14012	ENSG00000134072
Q8IU85	ENSG00000183049
Q9UQM7	ENSG00000070808
Q13557	ENSG00000145349
Q16566	ENSG00000152495
Q9Y2V2	ENSG00000153048
O75177	ENSG00000184402
Q8N187	ENSG00000138380
Q9Y6Y1	ENSG00000171735
O94983	ENSG00000108509
O75808	ENSG00000103326
P20807	ENSG00000092529
P27797	ENSG00000179218
Q9Y2W7	ENSG00000115041
P61925	ENSG00000171033
Q9Y2B9	ENSG00000168734
P10644	ENSG00000108946
O60519	ENSG00000111269
Q03060	ENSG00000095794
Q6IMN6	ENSG00000110888
Q9NP71	ENSG00000009950
Q9GZU7	ENSG00000144579
P68400	ENSG00000101266
P19784	ENSG00000070770
O15519	ENSG00000003402
Q9BXL7	ENSG00000198286
Q9BXL6	ENSG00000141527
P04040	ENSG00000121691
P35222	ENSG00000168036
O60716	ENSG00000198561
Q9UQB3	ENSG00000169862
Q03135	ENSG00000105974
Q99966	ENSG00000125931
Q99967	ENSG00000164442
Q96RK1	ENSG00000179862
P49715	ENSG00000245848
P17676	ENSG00000172216
P49716	ENSG00000221869
Q15744	ENSG00000092067
P53567	ENSG00000153879
Q03701	ENSG00000115816
A5YKK6	ENSG00000125107
Q9H9A5	ENSG00000182973
Q9UKZ1	ENSG00000158435
Q9NZN8	ENSG00000111596
O75175	ENSG00000088038
O75175	ENSG00000276082
O75175	ENSG00000274941
O75175	ENSG00000275979
O75175	ENSG00000277615
O75175	ENSG00000274176
O75175	ENSG00000274616
O75175	ENSG00000273943
O75175	ENSG00000277114
O75175	ENSG00000277600
Q9ULM6	ENSG00000113300
Q96LI5	ENSG00000138767
Q9UIV1	ENSG00000198791
Q9UFF9	ENSG00000155508
Q96SN8	ENSG00000136861
Q96JB5	ENSG00000108465
P51948	ENSG00000020426
Q4KMG0	ENSG00000064309
Q8N163	ENSG00000158941
Q9ULG6	ENSG00000260916
Q96AQ7	ENSG00000187288
O60543	ENSG00000176194
Q92600	ENSG00000144580
O75419	ENSG00000093009
Q99459	ENSG00000096401
Q8IX12	ENSG00000060339
Q96GN5	ENSG00000164649
Q9BWT1	ENSG00000144354
P62633	ENSG00000169714
P29373	ENSG00000143320
P04637	ENSG00000141510
P49454	ENSG00000117724
Q9BS16	ENSG00000123219
Q13352	ENSG00000142856
Q71F23	ENSG00000151725
O15078	ENSG00000198707
O95813	ENSG00000147869
Q9UFW8	ENSG00000163320
O00408	ENSG00000186642
Q9HD42	ENSG00000131165
Q99788	ENSG00000174600
P40879	ENSG00000091138
Q9H2X0	ENSG00000090539
Q9BU40	ENSG00000101938
Q6WN34	ENSG00000054938
Q9NP62	ENSG00000137270
O75603	ENSG00000124827
Q13112	ENSG00000159259
Q9HAF1	ENSG00000163875
Q9Y3Y2	ENSG00000160679
P83916	ENSG00000108468
Q14781	ENSG00000173894
Q13185	ENSG00000122565
P45973	ENSG00000094916
O95503	ENSG00000183741
O95931	ENSG00000100307
Q9HC52	ENSG00000141570
O14646	ENSG00000153922
O14647	ENSG00000173575
Q12873	ENSG00000170004
Q14839	ENSG00000111642
Q8TDI0	ENSG00000116254
Q8TD26	ENSG00000124177
Q9P2D1	ENSG00000171316
Q9HCK8	ENSG00000100888
Q3L8U1	ENSG00000177200
Q9Y232	ENSG00000153046
Q9UNI1	ENSG00000139610
Q8N365	ENSG00000159208
O15516	ENSG00000134852
Q969X6	ENSG00000141076
Q969X6	ENSG00000262788
A6NK06	ENSG00000102794
Q9UQF2	ENSG00000121653
Q7RTS1	ENSG00000180535
Q7RTU4	ENSG00000205899
Q8NFJ8	ENSG00000180828
Q8NDY6	ENSG00000125533
O14503	ENSG00000134107
Q9C0J9	ENSG00000123095
Q9C0C6	ENSG00000198894
P10909	ENSG00000120885
Q99417	ENSG00000214114
Q7Z401	ENSG00000174485
Q6P1N0	ENSG00000132024
Q5T0F9	ENSG00000154222
Q6P9F0	ENSG00000130783
Q15834	ENSG00000175602
Q9Y6H1	ENSG00000106153
Q9Y534	ENSG00000172346
O75534	ENSG00000009307
P02452	ENSG00000108821
Q8N668	ENSG00000173163
Q9Y6G5	ENSG00000145781
Q86X83	ENSG00000114744
Q9UBI1	ENSG00000148444
Q9H0A8	ENSG00000140365
Q9GZQ3	ENSG00000170619
Q7Z4G1	ENSG00000188243
Q86VX2	ENSG00000149600
Q9NX08	ENSG00000169019
Q9P000	ENSG00000110442
Q07021	ENSG00000108561
O43186	ENSG00000105392
Q96EK7	ENSG00000112584
Q96EK7	ENSG00000275333
Q9NQ92	ENSG00000172301
P61201	ENSG00000166200
Q92905	ENSG00000121022
Q13951	ENSG00000067955
O75367	ENSG00000113648
Q9P0M6	ENSG00000099284
Q86X95	ENSG00000138433
P10589	ENSG00000175745
P24468	ENSG00000185551
Q8IUR6	ENSG00000164463
Q9NS37	ENSG00000137504
Q92793	ENSG00000005339
Q6UUV9	ENSG00000105662
Q53ET0	ENSG00000160741
Q6UUV7	ENSG00000140577
Q16526	ENSG00000008405
Q49AN0	ENSG00000121671
Q13363	ENSG00000159692
P56545	ENSG00000175029
P41238	ENSG00000111701
Q86VP6	ENSG00000111530
O75155	ENSG00000144712
P49682	ENSG00000186810
P02778	ENSG00000169245
Q9P0U4	ENSG00000154832
Q7LFL8	ENSG00000171604
P18846	ENSG00000123268
P15336	ENSG00000115966
P18847	ENSG00000162772
P18848	ENSG00000128272
Q9Y2D1	ENSG00000169136
P18850	ENSG00000118217
Q99941	ENSG00000168468
Q99941	ENSG00000213676
Q99941	ENSG00000228628
Q99941	ENSG00000234539
P17544	ENSG00000170653
P16220	ENSG00000118260
O43889	ENSG00000107175
Q96BA8	ENSG00000157613
Q70SY1	ENSG00000182158
Q68CJ9	ENSG00000060566
Q8TEY5	ENSG00000143578
Q02930	ENSG00000146592
P20248	ENSG00000145386
Q9Y222	ENSG00000135164
Q9UQ88	ENSG00000008128
Q9NYV4	ENSG00000167258
Q14004	ENSG00000065883
P24941	ENSG00000123374
Q15078	ENSG00000176749
P50613	ENSG00000134058
P50613	ENSG00000277273
P50750	ENSG00000136807
P46527	ENSG00000111276
P49918	ENSG00000129757
P42771	ENSG00000147889
Q00535	ENSG00000164885
P51946	ENSG00000134480
O75909	ENSG00000090061
Q9UK58	ENSG00000163660
Q96S94	ENSG00000221978
Q8N1B3	ENSG00000262919
P32929	ENSG00000116761
P50461	ENSG00000129170
Q96S65	ENSG00000144655
Q9H175	ENSG00000110925
Q8WYN3	ENSG00000178662
Q16678	ENSG00000138061
Q9NRR1	ENSG00000170891
Q8IUI8	ENSG00000176390
Q8NE35	ENSG00000107864
P16333	ENSG00000158092
O43639	ENSG00000071051
Q8WWK9	ENSG00000136108
Q9H6Q4	ENSG00000103245
P14416	ENSG00000149295
P35462	ENSG00000151577
Q9UI36	ENSG00000276644
Q96NX9	ENSG00000126733
Q8N907	ENSG00000179284
Q9NYF0	ENSG00000165617
Q5BKZ1	ENSG00000162664
Q58WW2	ENSG00000143164
Q96HY6	ENSG00000198171
P51397	ENSG00000112977
Q9UER7	ENSG00000204209
Q9UER7	ENSG00000206206
Q9UER7	ENSG00000206279
Q9UER7	ENSG00000231617
Q9UER7	ENSG00000227046
O75618	ENSG00000158796
O75398	ENSG00000177030
O00548	ENSG00000198719
O00548	ENSG00000275555
Q9NR61	ENSG00000128917
P41143	ENSG00000116329
O94850	ENSG00000181418
Q8TF63	ENSG00000251380
Q9H147	ENSG00000101457
Q5QJE6	ENSG00000067334
Q5TB30	ENSG00000024526
Q86SJ6	ENSG00000175065
Q7Z7J5	ENSG00000163530
Q7L190	ENSG00000121570
Q9Y272	ENSG00000108551
P52824	ENSG00000145214
O94907	ENSG00000107984
Q9UBP4	ENSG00000050165
Q8NFW5	ENSG00000197587
Q8WVM0	ENSG00000029639
Q9H5Q4	ENSG00000162851
P98082	ENSG00000153071
Q5VWQ8	ENSG00000136848
Q16832	ENSG00000162733
P78325	ENSG00000151651
A6NFQ7	ENSG00000204595
P27695	ENSG00000100823
Q8WXF8	ENSG00000160570
Q13422	ENSG00000185811
P41134	ENSG00000125968
Q02363	ENSG00000115738
Q02535	ENSG00000117318
P47928	ENSG00000172201
P48378	ENSG00000087903
P48382	ENSG00000143390
Q8HWS3	ENSG00000185002
Q2KHR2	ENSG00000181827
Q6ZV50	ENSG00000196460
O14593	ENSG00000064490
Q01826	ENSG00000182568
Q9UPW6	ENSG00000119042
P38935	ENSG00000132740
P26358	ENSG00000130816
Q9Y6K1	ENSG00000119772
Q9UBC3	ENSG00000088305
Q9UJW3	ENSG00000142182
P35638	ENSG00000175197
P78527	ENSG00000253729
Q9BUI4	ENSG00000186141
Q9H1D9	ENSG00000132664
O15318	ENSG00000113356
Q9BT43	ENSG00000121851
P24928	ENSG00000181222
P53803	ENSG00000147669
P62875	ENSG00000177700
Q99708	ENSG00000101773
Q03468	ENSG00000225830
Q9ULG1	ENSG00000128908
Q96EY1	ENSG00000103423
Q96EY1	ENSG00000276726
O75953	ENSG00000137094
O75190	ENSG00000105993
Q9NVM6	ENSG00000104129
Q99543	ENSG00000105821
Q9NPF5	ENSG00000178028
P11388	ENSG00000131747
A6NNA5	ENSG00000165606
Q9UBX2	ENSG00000260596
P0CJ87	ENSG00000258834
A6NLW8	ENSG00000258873
Q9Y5R6	ENSG00000137090
Q9Y5R5	ENSG00000173253
Q9NQL9	ENSG00000064218
Q5VZB9	ENSG00000176399
Q96SC8	ENSG00000142700
Q96MA1	ENSG00000143006
Q5HYR2	ENSG00000184911
Q5HYR2	ENSG00000269502
Q8IXT2	ENSG00000142025
O60216	ENSG00000164754
Q14919	ENSG00000175550
Q10586	ENSG00000105516
Q02750	ENSG00000169032
P46734	ENSG00000034152
Q13163	ENSG00000137764
P52564	ENSG00000108984
Q9NRW4	ENSG00000112679
Q9BV47	ENSG00000133878
Q9Y463	ENSG00000105204
Q9Y463	ENSG00000281320
P50570	ENSG00000079805
P63167	ENSG00000088986
Q9C0C9	ENSG00000175931
Q56P03	ENSG00000129518
O00257	ENSG00000141582
P11161	ENSG00000122877
O75925	ENSG00000033800
O75928	ENSG00000078043
Q9Y6X2	ENSG00000131788
Q8N2W9	ENSG00000105229
Q14258	ENSG00000121060
Q6ZNA4	ENSG00000157450
Q5VTR2	ENSG00000155827
P22681	ENSG00000110395
Q8IYU2	ENSG00000085382
Q96J02	ENSG00000078747
Q00987	ENSG00000135679
O75592	ENSG00000005810
P46934	ENSG00000069869
Q9H4P4	ENSG00000181852
O60260	ENSG00000185345
Q96FA3	ENSG00000197329
Q06587	ENSG00000204227
Q06587	ENSG00000206287
Q06587	ENSG00000226788
Q06587	ENSG00000231115
Q06587	ENSG00000228520
Q06587	ENSG00000235107
Q99496	ENSG00000121481
Q9NVW2	ENSG00000131263
Q9UBS8	ENSG00000013561
Q8IYW5	ENSG00000163961
Q5TA31	ENSG00000168159
Q96BH1	ENSG00000163481
Q96EP0	ENSG00000092098
P78317	ENSG00000063978
Q9Y252	ENSG00000127870
O76064	ENSG00000112130
Q9HCE7	ENSG00000198742
Q9HAU4	ENSG00000108854
Q9NS56	ENSG00000197579
Q6Q0C0	ENSG00000131653
Q96F44	ENSG00000154370
O60858	ENSG00000204977
P19474	ENSG00000132109
Q8IYM9	ENSG00000132274
Q9BZY9	ENSG00000137397
Q9BZY9	ENSG00000204616
Q9BZY9	ENSG00000233573
Q9BZY9	ENSG00000224168
Q9BZY9	ENSG00000223531
Q9BZY9	ENSG00000225130
Q13049	ENSG00000119401
Q9UPN9	ENSG00000197323
O94972	ENSG00000108395
O00635	ENSG00000112343
Q9BVG3	ENSG00000116525
Q8IWV8	ENSG00000024048
Q96T88	ENSG00000276043
P98170	ENSG00000101966
O94874	ENSG00000014123
P18146	ENSG00000120738
Q06889	ENSG00000179388
Q05215	ENSG00000135625
Q92838	ENSG00000158813
Q5THR3	ENSG00000186976
Q12805	ENSG00000115380
Q9GZT9	ENSG00000135766
Q12926	ENSG00000107105
Q8IUD2	ENSG00000082805
Q96JC9	ENSG00000144597
Q96CJ1	ENSG00000145088
Q6PJG2	ENSG00000156030
P68104	ENSG00000156508
P29692	ENSG00000104529
P29692	ENSG00000273594
P43897	ENSG00000123297
O95163	ENSG00000070061
Q6IA86	ENSG00000134759
Q9H9T3	ENSG00000134014
Q96EB1	ENSG00000109911
Q8TE02	ENSG00000170291
Q0PNE2	ENSG00000163832
P27539	ENSG00000130283
P17813	ENSG00000106991
Q9UPY3	ENSG00000100697
O60869	ENSG00000107223
Q99814	ENSG00000116016
P23769	ENSG00000179348
Q9NQZ8	ENSG00000197951
P05305	ENSG00000078401
P24530	ENSG00000136160
Q9H2F5	ENSG00000120616
Q52LR7	ENSG00000135999
O95936	ENSG00000163508
Q9Y6B2	ENSG00000255302
Q8N6I1	ENSG00000176396
Q96D98	ENSG00000176401
Q8N140	ENSG00000255150
P20827	ENSG00000169242
P54756	ENSG00000145242
P00533	ENSG00000146648
P16422	ENSG00000119888
Q3B7T1	ENSG00000107938
P15976	ENSG00000102145
P01588	ENSG00000130427
Q9H501	ENSG00000089048
P03372	ENSG00000091831
Q92731	ENSG00000140009
P62508	ENSG00000196482
P19419	ENSG00000126767
P41970	ENSG00000111145
P28324	ENSG00000158711
P50548	ENSG00000105722
Q9NZC4	ENSG00000135373
P32519	ENSG00000120690
Q15723	ENSG00000109381
P78545	ENSG00000163435
Q99607	ENSG00000102034
Q9UKW6	ENSG00000135374
P50549	ENSG00000006468
O00321	ENSG00000105672
P41162	ENSG00000117036
Q6ZN32	ENSG00000253831
P43268	ENSG00000175832
P41161	ENSG00000244405
Q9BY44	ENSG00000144895
Q9NZJ5	ENSG00000172071
Q9BQ95	ENSG00000130159
O14980	ENSG00000082898
Q16610	ENSG00000143369
Q8IWU6	ENSG00000137573
Q99502	ENSG00000104313
O00167	ENSG00000064655
Q99504	ENSG00000158161
O95677	ENSG00000112319
Q9Y5B9	ENSG00000092201
Q08945	ENSG00000149136
Q6QHK4	ENSG00000183733
Q9BX63	ENSG00000136492
Q96AE4	ENSG00000162613
Q92945	ENSG00000088247
Q96I24	ENSG00000107164
Q13158	ENSG00000168040
P15090	ENSG00000170323
O60427	ENSG00000149485
O60907	ENSG00000101849
Q9BZK7	ENSG00000177565
Q9BQ87	ENSG00000092377
Q9H469	ENSG00000107872
Q9UKB1	ENSG00000072803
Q9Y297	ENSG00000166167
Q969H0	ENSG00000109670
Q96RJ6	ENSG00000146618
A0PJY2	ENSG00000128610
Q8TBJ5	ENSG00000153266
Q9Y613	ENSG00000135723
P35555	ENSG00000166147
O95073	ENSG00000265817
P05230	ENSG00000113578
O15520	ENSG00000070193
P09038	ENSG00000138685
Q9GZV9	ENSG00000118972
P08620	ENSG00000075388
P55075	ENSG00000107831
P31371	ENSG00000102678
P11362	ENSG00000077782
P21802	ENSG00000066468
P22607	ENSG00000068078
P08F94	ENSG00000170927
P21333	ENSG00000196924
Q96SL8	ENSG00000179943
Q8NFG4	ENSG00000154803
Q8TF40	ENSG00000217128
Q9P278	ENSG00000052795
P19883	ENSG00000134363
O95633	ENSG00000070404
P01225	ENSG00000131808
Q99853	ENSG00000171956
Q5VYV0	ENSG00000204612
Q12948	ENSG00000054598
Q99958	ENSG00000176692
Q16676	ENSG00000251493
O60548	ENSG00000186564
Q9UJU5	ENSG00000187140
Q12950	ENSG00000170122
Q9NU39	ENSG00000184492
Q6VB84	ENSG00000187559
Q8WXT5	ENSG00000184659
Q5VV16	ENSG00000204779
Q3SYB3	ENSG00000273514
O00358	ENSG00000178919
Q13461	ENSG00000186790
Q12946	ENSG00000103241
Q12947	ENSG00000137273
P55316	ENSG00000176165
O75593	ENSG00000160973
Q12951	ENSG00000168269
Q6ZQN5	ENSG00000186766
A8MTJ6	ENSG00000214336
Q92949	ENSG00000129654
Q9P0K8	ENSG00000065970
Q9UPW0	ENSG00000198815
P85037	ENSG00000164916
Q01167	ENSG00000141568
Q12952	ENSG00000176678
P58012	ENSG00000183770
Q08050	ENSG00000111206
O15353	ENSG00000109101
P32314	ENSG00000170802
O00409	ENSG00000053254
Q96NZ1	ENSG00000139445
Q12778	ENSG00000150907
O43524	ENSG00000118689
P98177	ENSG00000184481
A8MYZ6	ENSG00000204060
Q9H334	ENSG00000114861
O15409	ENSG00000128573
Q9BZS1	ENSG00000049768
Q8IVH2	ENSG00000137166
Q9C009	ENSG00000164379
Q6PIV2	ENSG00000176302
Q6PIV2	ENSG00000281277
Q6PJQ5	ENSG00000189299
O43638	ENSG00000179772
P15407	ENSG00000175592
P15408	ENSG00000075426
Q14192	ENSG00000115641
Q5TD97	ENSG00000112214
Q01543	ENSG00000151702
Q9UP38	ENSG00000157240
Q14332	ENSG00000180340
Q9ULV1	ENSG00000174804
Q13467	ENSG00000163251
O60353	ENSG00000164930
O75084	ENSG00000155760
Q9H461	ENSG00000177283
P24385	ENSG00000110092
P24864	ENSG00000105173
Q06546	ENSG00000154727
Q06547	ENSG00000104064
Q8TAK5	ENSG00000143458
P22466	ENSG00000069482
P47211	ENSG00000166573
O43603	ENSG00000182687
O60755	ENSG00000128310
Q16666	ENSG00000163565
Q9NUQ3	ENSG00000086712
P0C6A0	ENSG00000220201
Q8WUU5	ENSG00000157259
P16383	ENSG00000005436
Q9H116	ENSG00000125812
Q9H488	ENSG00000101346
O75496	ENSG00000112312
P29083	ENSG00000153767
P35269	ENSG00000125651
P13984	ENSG00000188342
P32780	ENSG00000110768
Q13888	ENSG00000145736
Q13888	ENSG00000276910
Q13888	ENSG00000275045
Q6P1K8	ENSG00000183474
Q6P1K8	ENSG00000274675
Q13889	ENSG00000111358
Q92759	ENSG00000213780
Q92759	ENSG00000221974
Q92759	ENSG00000236895
Q92759	ENSG00000234370
Q92759	ENSG00000233149
Q92759	ENSG00000226384
Q6ZYL4	ENSG00000272047
P78347	ENSG00000263001
Q9UHL9	ENSG00000006704
Q86UP8	ENSG00000196275
Q6EKJ0	ENSG00000174428
Q96IK5	ENSG00000087338
P39905	ENSG00000168621
P01275	ENSG00000115263
Q9Y692	ENSG00000162419
Q9UKD1	ENSG00000101216
P04150	ENSG00000113580
P48506	ENSG00000001084
Q9Y3R0	ENSG00000155974
Q05586	ENSG00000176884
Q9NS18	ENSG00000023572
P49841	ENSG00000082701
P01215	ENSG00000135346
Q8WWB7	ENSG00000198715
P51654	ENSG00000147257
Q9H2G9	ENSG00000117475
Q3T8J9	ENSG00000116580
Q99527	ENSG00000164850
Q13227	ENSG00000132522
Q9NZI5	ENSG00000134317
Q6ISB3	ENSG00000083307
Q8TE85	ENSG00000158055
P09919	ENSG00000108342
O60565	ENSG00000276886
O60565	ENSG00000166923
Q9H772	ENSG00000180875
O15496	ENSG00000069764
O15496	ENSG00000276870
Q14393	ENSG00000183087
O60861	ENSG00000007237
Q9UK05	ENSG00000263761
Q9NR23	ENSG00000184344
P43026	ENSG00000125965
Q6KF10	ENSG00000156466
Q7Z4P5	ENSG00000143869
O14793	ENSG00000138379
O60383	ENSG00000164404
Q9H4S2	ENSG00000169840
Q9BZM3	ENSG00000180613
Q13569	ENSG00000139372
P01112	ENSG00000174775
P01112	ENSG00000276536
P01116	ENSG00000133703
Q8TAI7	ENSG00000167550
P62826	ENSG00000132341
Q9BVP2	ENSG00000163938
O15068	ENSG00000126217
Q14774	ENSG00000136630
A6NFD8	ENSG00000187821
Q9NQ87	ENSG00000163909
Q9Y5J3	ENSG00000164683
Q9UBP5	ENSG00000135547
O00165	ENSG00000143575
O96004	ENSG00000113196
P61296	ENSG00000164107
Q9H583	ENSG00000119285
P11142	ENSG00000109971
O75506	ENSG00000230989
Q00613	ENSG00000185122
Q03933	ENSG00000025156
Q9ULV5	ENSG00000102878
Q4G112	ENSG00000176160
Q9UBD0	ENSG00000171116
Q9UBD0	ENSG00000268738
Q96LI6	ENSG00000169953
Q96LI6	ENSG00000172468
Q14527	ENSG00000071794
Q6ZRS2	ENSG00000080603
Q9BYK8	ENSG00000130589
Q02575	ENSG00000171786
Q02577	ENSG00000177551
Q03014	ENSG00000152804
P14317	ENSG00000180353
P09601	ENSG00000100292
P02100	ENSG00000213931
P02008	ENSG00000130656
Q6ZVN8	ENSG00000168509
Q16534	ENSG00000108924
P14210	ENSG00000019991
P08581	ENSG00000105976
P20823	ENSG00000135100
P35680	ENSG00000276194
P35680	ENSG00000275410
P55317	ENSG00000129514
Q9Y261	ENSG00000125798
P55318	ENSG00000170608
P41235	ENSG00000101076
Q14541	ENSG00000164749
Q9UBC0	ENSG00000169856
P51858	ENSG00000143321
Q5TGJ6	ENSG00000112273
Q30201	ENSG00000010704
Q5SSJ5	ENSG00000127483
Q99729	ENSG00000197451
